project_id,project_type,state,region,capacity_mw,sanctioned_budget_cr,planned_duration_months,contractor_count,land_acquisition_status,project_complexity,actual_cost_cr,actual_duration_months,cost_overrun_pct,delay_months,risk_level
P00026,Solar,Karnataka,South,1131,3766.71,45,6,Partial,Medium,4513.92,54.5,19.84,9.5,High
P00027,Thermal,Andhra Pradesh,South,2179,6830.26,57,9,Complete,Low,7534.25,59.5,10.31,2.5,Medium
P00028,Wind,Andhra Pradesh,South,481,1275.83,15,1,Complete,Medium,1373.73,18.7,7.67,3.7,Medium
P00029,Wind,Andhra Pradesh,South,708,1490.8,12,8,Partial,Low,1716.5,22.7,15.14,10.7,High
P00030,Wind,Maharashtra,West,429,614.03,30,5,Partial,High,747.0,37.1,21.66,7.1,Medium
P00031,Wind,Maharashtra,West,776,1030.64,19,10,Partial,Medium,1301.28,31.0,26.26,12.0,High
P00032,Thermal,Andhra Pradesh,South,3004,14341.34,70,1,Partial,Low,16481.25,76.5,14.92,6.5,Medium
P00033,Thermal,Rajasthan,North,4266,23477.86,60,3,Complete,High,26371.98,72.7,12.33,12.7,High
P00034,Solar,Tamil Nadu,South,445,1520.6,30,9,Complete,High,1879.1,40.8,23.58,10.8,High
P00035,Hydro,Karnataka,South,3655,28256.71,51,9,Complete,High,33082.01,67.2,17.08,16.2,High
P00036,Thermal,Haryana,North,1453,7225.58,73,7,Complete,Low,7368.88,74.8,1.98,1.8,Low
P00037,Wind,Karnataka,South,78,105.51,30,8,Complete,Medium,123.45,36.6,17.0,6.6,Medium
P00038,Transmission,Uttar Pradesh,North,2314,3786.47,37,3,Complete,Medium,3912.87,39.3,3.34,2.3,Low
P00039,Transmission,Haryana,North,2058,4361.04,24,9,Complete,Low,4973.71,25.5,14.05,1.5,Medium
P00040,Transmission,Karnataka,South,179,320.69,22,5,Complete,Medium,335.0,24.2,4.46,2.2,Low
P00041,Solar,Karnataka,South,1332,4398.68,22,10,Pending,High,6002.03,39.1,36.45,17.1,High
P00042,Solar,Tamil Nadu,South,551,862.11,20,1,Complete,Medium,902.94,24.1,4.74,4.1,Medium
P00043,Hydro,Karnataka,South,1938,14720.82,45,8,Pending,Medium,20947.62,62.7,42.3,17.7,High
P00044,Hydro,Rajasthan,North,1584,5255.01,36,5,Complete,High,6516.95,46.0,24.01,10.0,High
P00045,Transmission,Karnataka,South,2824,6031.0,30,1,Complete,Low,6106.82,30.5,1.26,0.5,Low
P00046,Thermal,Rajasthan,North,2323,6243.26,66,8,Complete,Medium,7283.62,72.6,16.66,6.6,Medium
P00047,Hydro,Haryana,North,2548,9351.35,82,7,Partial,Medium,10720.11,87.3,14.64,5.3,Medium
P00048,Hydro,Maharashtra,West,546,3621.06,73,1,Partial,Medium,4534.96,80.1,25.24,7.1,High
P00049,Thermal,Tamil Nadu,South,3531,9475.24,41,5,Complete,Low,9749.86,41.7,2.9,0.7,Low
P00050,Solar,Madhya Pradesh,Central,1256,3352.93,22,6,Partial,Low,3930.5,27.9,17.23,5.9,Medium
P00051,Wind,Andhra Pradesh,South,100,127.36,16,2,Complete,Low,127.92,16.2,0.44,0.2,Low
P00052,Solar,Andhra Pradesh,South,1119,2493.74,25,10,Partial,Low,2972.08,34.8,19.18,9.8,High
P00053,Wind,Tamil Nadu,South,306,413.75,14,4,Complete,Medium,443.82,17.6,7.27,3.6,Medium
P00054,Transmission,Andhra Pradesh,South,625,763.51,18,3,Pending,Medium,960.66,32.4,25.82,14.4,High
P00055,Transmission,Andhra Pradesh,South,1162,1723.38,50,6,Complete,Low,1800.12,51.2,4.45,1.2,Low
P00056,Thermal,Andhra Pradesh,South,566,2883.93,53,4,Partial,Medium,3311.28,60.5,14.82,7.5,Medium
P00057,Wind,Punjab,North,364,1083.16,16,9,Complete,Low,1127.03,18.4,4.05,2.4,Low
P00058,Solar,Madhya Pradesh,Central,948,2416.47,47,8,Complete,Medium,2786.19,54.8,15.3,7.8,Medium
P00059,Solar,Gujarat,West,896,2302.79,37,3,Partial,Low,2575.33,44.8,11.84,7.8,Medium
P00060,Thermal,Rajasthan,North,4915,14003.62,46,4,Complete,Medium,15066.38,49.6,7.59,3.6,Medium
P00061,Wind,Punjab,North,691,938.49,16,9,Partial,Medium,1135.52,33.0,20.99,17.0,High
P00062,Solar,Gujarat,West,637,1438.64,12,8,Partial,Low,1798.5,22.4,25.01,10.4,High
P00063,Hydro,Andhra Pradesh,South,2721,13044.89,77,9,Partial,Medium,16286.1,89.7,24.85,12.7,High
P00064,Wind,Karnataka,South,665,1072.14,18,3,Complete,Medium,1152.4,23.0,7.49,5.0,Medium
P00065,Solar,Tamil Nadu,South,527,1732.66,47,6,Partial,Medium,2016.96,56.8,16.41,9.8,High
P00066,Transmission,Tamil Nadu,South,2000,2382.47,26,8,Complete,Low,2638.36,31.9,10.74,5.9,Medium
P00067,Thermal,Andhra Pradesh,South,2334,11427.54,55,10,Complete,Low,12460.31,61.1,9.04,6.1,Medium
P00068,Wind,Haryana,North,672,1684.69,22,4,Pending,Medium,2171.31,35.0,28.88,13.0,High
P00069,Solar,Uttar Pradesh,North,828,1988.59,32,10,Partial,Low,2386.0,40.6,19.98,8.6,Medium
P00070,Solar,Andhra Pradesh,South,362,546.35,46,4,Partial,High,669.15,58.5,22.48,12.5,High
P00071,Hydro,Uttar Pradesh,North,763,4492.67,87,6,Complete,Medium,4852.22,89.2,8.0,2.2,Low
P00072,Solar,Madhya Pradesh,Central,898,3073.08,31,6,Pending,Medium,3756.99,45.8,22.25,14.8,High
P00073,Transmission,Rajasthan,North,528,827.16,27,8,Partial,Low,991.69,37.8,19.89,10.8,High
P00074,Thermal,Rajasthan,North,3835,22807.29,74,3,Complete,Low,23541.68,74.8,3.22,0.8,Low
P00075,Thermal,Gujarat,West,3962,20347.63,36,9,Complete,Low,21607.62,41.0,6.19,5.0,Medium
P00076,Hydro,Maharashtra,West,3780,21862.04,43,2,Partial,High,27274.8,58.9,24.76,15.9,High
P00077,Wind,Madhya Pradesh,Central,379,513.13,34,5,Complete,Low,528.09,34.8,2.92,0.8,Low
P00078,Wind,Rajasthan,North,864,2008.43,22,10,Partial,Medium,2353.74,39.8,17.19,17.8,High
P00079,Thermal,Punjab,North,3261,15532.49,94,7,Partial,Medium,17834.11,101.8,14.82,7.8,Medium
P00080,Hydro,Tamil Nadu,South,2813,15832.83,72,6,Pending,Low,19627.35,86.4,23.97,14.4,High
P00081,Wind,Madhya Pradesh,Central,678,827.02,32,9,Complete,Medium,954.63,39.0,15.43,7.0,Medium
P00082,Wind,Gujarat,West,871,2202.29,30,5,Partial,Low,2433.6,36.9,10.5,6.9,Medium
P00083,Hydro,Uttar Pradesh,North,197,981.7,59,6,Complete,Medium,1032.35,63.6,5.16,4.6,Medium
P00084,Solar,Gujarat,West,250,760.46,20,9,Complete,Medium,847.5,23.4,11.45,3.4,Medium
P00085,Hydro,Uttar Pradesh,North,3013,10592.11,79,1,Complete,High,12218.9,90.2,15.36,11.2,High
P00086,Transmission,Rajasthan,North,1850,3859.39,27,6,Pending,High,4628.48,50.7,19.93,23.7,High
P00087,Solar,Madhya Pradesh,Central,1030,2519.81,18,5,Partial,Low,2860.74,25.3,13.53,7.3,Medium
P00088,Thermal,Madhya Pradesh,Central,3542,13376.02,77,7,Complete,Medium,13982.6,80.3,4.53,3.3,Medium
P00089,Wind,Madhya Pradesh,Central,413,921.14,35,1,Partial,Medium,1087.36,45.7,18.04,10.7,High
P00090,Wind,Madhya Pradesh,Central,830,1786.23,14,7,Complete,Low,1794.14,14.1,0.44,0.1,Low
P00091,Thermal,Haryana,North,771,4621.92,82,9,Partial,Medium,5483.36,90.2,18.64,8.2,Medium
P00092,Solar,Rajasthan,North,998,3468.49,20,1,Complete,Low,3634.36,21.6,4.78,1.6,Low
P00093,Transmission,Uttar Pradesh,North,906,2100.72,57,8,Complete,Medium,2356.81,66.8,12.19,9.8,High
P00094,Transmission,Andhra Pradesh,South,325,512.24,52,1,Pending,High,677.64,73.2,32.29,21.2,High
P00095,Hydro,Andhra Pradesh,South,2566,17426.2,97,1,Complete,High,19896.68,105.8,14.18,8.8,Medium
P00096,Transmission,Gujarat,West,1390,3219.51,14,9,Complete,High,3972.94,26.5,23.4,12.5,High
P00097,Hydro,Karnataka,South,1299,7117.71,105,5,Complete,Medium,7534.55,109.1,5.86,4.1,Medium
P00098,Transmission,Maharashtra,West,2845,5283.1,51,2,Partial,High,6588.62,60.0,24.71,9.0,Medium
P00099,Transmission,Haryana,North,1816,3668.7,38,6,Complete,High,4512.23,42.0,22.99,4.0,Medium
P00100,Hydro,Karnataka,South,3841,28974.61,117,4,Partial,Medium,32722.08,122.7,12.93,5.7,Medium
P00101,Wind,Punjab,North,414,1077.94,17,3,Partial,Medium,1289.8,29.1,19.65,12.1,High
P00102,Thermal,Gujarat,West,1540,8599.26,52,10,Complete,Low,9484.52,58.1,10.29,6.1,Medium
P00103,Thermal,Tamil Nadu,South,1262,3811.68,47,7,Complete,High,4217.5,51.6,10.65,4.6,Medium
P00104,Wind,Gujarat,West,334,968.52,14,9,Complete,Medium,1105.24,19.8,14.12,5.8,Medium
P00105,Solar,Punjab,North,1038,3515.95,27,5,Partial,Medium,4029.78,38.0,14.61,11.0,High
P00106,Solar,Haryana,North,841,1881.36,26,8,Complete,Low,1995.85,30.0,6.09,4.0,Medium
P00107,Hydro,Karnataka,South,1659,12615.43,38,4,Partial,Medium,14690.01,45.3,16.44,7.3,Medium
P00108,Transmission,Karnataka,South,2533,5563.33,22,1,Complete,Low,5672.51,23.0,1.96,1.0,Low
P00109,Hydro,Haryana,North,2948,22886.04,76,8,Partial,Medium,27833.67,84.8,21.62,8.8,Medium
P00110,Wind,Rajasthan,North,51,110.24,20,1,Partial,Medium,127.58,29.2,15.73,9.2,High
P00111,Thermal,Rajasthan,North,2395,12084.5,38,6,Partial,Medium,14929.59,49.6,23.54,11.6,High
P00112,Hydro,Madhya Pradesh,Central,558,4170.54,39,6,Partial,Medium,4956.08,44.3,18.84,5.3,Medium
P00113,Transmission,Haryana,North,1424,2739.22,30,7,Complete,Medium,2946.78,32.4,7.58,2.4,Low
P00114,Wind,Maharashtra,West,711,1278.5,35,9,Complete,Low,1372.64,37.5,7.36,2.5,Low
P00115,Thermal,Rajasthan,North,658,2739.67,59,4,Partial,Medium,3293.41,66.2,20.21,7.2,Medium
P00116,Wind,Tamil Nadu,South,627,1426.99,15,6,Partial,High,1823.66,25.6,27.8,10.6,High
P00117,Wind,Punjab,North,149,422.6,34,10,Complete,High,516.65,44.2,22.26,10.2,High
P00118,Solar,Tamil Nadu,South,179,302.6,28,9,Pending,Low,419.14,39.5,38.51,11.5,High
P00119,Hydro,Andhra Pradesh,South,3878,20204.85,115,10,Complete,Medium,22364.43,122.5,10.69,7.5,Medium
P00120,Thermal,Haryana,North,3678,20028.95,72,5,Partial,Medium,23230.41,82.9,15.98,10.9,High
P00121,Solar,Karnataka,South,1093,1752.51,12,7,Complete,Low,1760.27,12.2,0.44,0.2,Low
P00122,Hydro,Andhra Pradesh,South,375,2974.93,78,2,Complete,High,3442.78,84.6,15.73,6.6,Medium
P00123,Thermal,Madhya Pradesh,Central,4903,26077.7,77,7,Complete,Low,27030.62,77.3,3.65,0.3,Low
P00124,Transmission,Uttar Pradesh,North,1298,2646.54,37,10,Complete,Low,2972.13,40.3,12.3,3.3,Medium
P00125,Solar,Tamil Nadu,South,850,2296.04,42,5,Partial,Medium,2758.11,50.2,20.12,8.2,Medium
P00126,Transmission,Haryana,North,2736,3920.77,22,4,Partial,Medium,4831.49,33.8,23.23,11.8,High
P00127,Solar,Punjab,North,871,2437.19,32,1,Complete,Medium,2649.73,34.5,8.72,2.5,Low
P00128,Solar,Maharashtra,West,151,248.61,46,8,Partial,Medium,313.44,55.9,26.08,9.9,High
P00129,Wind,Karnataka,South,349,718.26,22,7,Partial,Medium,847.35,27.8,17.97,5.8,Medium
P00130,Solar,Tamil Nadu,South,764,1726.75,15,5,Complete,Low,1741.11,16.2,0.83,1.2,Low
P00131,Transmission,Tamil Nadu,South,2641,3858.33,58,3,Partial,Low,4566.54,65.7,18.36,7.7,Medium
P00132,Hydro,Madhya Pradesh,Central,3522,25700.31,74,7,Complete,Medium,27254.87,77.1,6.05,3.1,Medium
P00133,Solar,Punjab,North,1435,2474.81,24,7,Partial,Medium,2950.9,32.4,19.24,8.4,Medium
P00134,Solar,Andhra Pradesh,South,908,2779.43,35,3,Pending,Medium,3357.74,49.3,20.81,14.3,High
P00135,Thermal,Gujarat,West,1130,5244.82,57,5,Partial,Medium,6143.07,67.0,17.13,10.0,High
P00136,Hydro,Madhya Pradesh,Central,3768,24036.85,77,6,Complete,Medium,25760.93,80.5,7.17,3.5,Medium
P00137,Wind,Madhya Pradesh,Central,670,899.78,19,5,Pending,Low,1068.19,26.3,18.72,7.3,Medium
P00138,Solar,Gujarat,West,1005,3116.22,38,5,Complete,Medium,3386.86,40.0,8.68,2.0,Low
P00139,Wind,Madhya Pradesh,Central,221,528.48,28,3,Partial,Medium,641.19,33.8,21.33,5.8,Medium
P00140,Wind,Haryana,North,104,266.35,28,8,Partial,High,360.47,48.2,35.34,20.2,High
P00141,Wind,Punjab,North,792,2183.1,32,6,Complete,Low,2195.94,32.5,0.59,0.5,Low
P00142,Transmission,Gujarat,West,2508,2837.71,38,9,Partial,Medium,3703.92,51.7,30.53,13.7,High
P00143,Wind,Rajasthan,North,91,197.61,24,3,Partial,Medium,227.92,32.3,15.34,8.3,Medium
P00144,Hydro,Gujarat,West,3078,14560.47,55,2,Partial,High,18780.68,71.5,28.98,16.5,High
P00145,Transmission,Tamil Nadu,South,2630,4202.73,36,5,Complete,Medium,4451.97,39.8,5.93,3.8,Medium
P00146,Thermal,Tamil Nadu,South,3536,10334.52,41,2,Partial,Low,11358.13,44.9,9.9,3.9,Medium
P00147,Hydro,Gujarat,West,1376,8390.14,114,9,Complete,Low,8767.38,117.5,4.5,3.5,Medium
P00148,Thermal,Rajasthan,North,2138,7302.51,72,7,Complete,Low,7541.93,73.7,3.28,1.7,Low
P00149,Wind,Karnataka,South,677,1305.69,14,7,Partial,Medium,1556.27,20.5,19.19,6.5,Medium
P00150,Transmission,Andhra Pradesh,South,2011,3625.76,12,5,Partial,Medium,4015.52,19.3,10.75,7.3,Medium
P00151,Transmission,Tamil Nadu,South,1891,2169.21,37,4,Pending,Low,2723.23,54.9,25.54,17.9,High
P00152,Wind,Karnataka,South,603,1691.87,20,1,Partial,High,2040.97,37.8,20.63,17.8,High
P00153,Thermal,Madhya Pradesh,Central,3349,13548.03,57,8,Complete,High,15496.87,71.9,14.38,14.9,High
P00154,Solar,Madhya Pradesh,Central,92,259.26,35,3,Complete,High,293.32,41.9,13.14,6.9,Medium
P00155,Hydro,Madhya Pradesh,Central,2646,10388.14,93,5,Partial,High,12949.15,109.0,24.65,16.0,High
P00156,Solar,Haryana,North,1011,2865.88,14,1,Complete,Low,2875.8,15.9,0.35,1.9,Low
P00157,Wind,Andhra Pradesh,South,198,282.23,19,2,Partial,Medium,338.67,27.2,20.0,8.2,Medium
P00158,Solar,Haryana,North,537,1269.55,36,2,Pending,Low,1629.42,50.1,28.35,14.1,High
P00159,Hydro,Andhra Pradesh,South,1667,7642.55,74,1,Complete,Medium,8488.76,77.7,11.07,3.7,Medium
P00160,Thermal,Uttar Pradesh,North,1161,7475.31,57,2,Complete,Medium,7916.45,60.4,5.9,3.4,Medium
P00161,Thermal,Uttar Pradesh,North,4254,23536.28,68,8,Partial,Low,27537.44,77.3,17.0,9.3,High
P00162,Wind,Punjab,North,178,451.24,14,1,Complete,Low,471.09,15.3,4.4,1.3,Low
P00163,Solar,Andhra Pradesh,South,1478,4383.96,38,2,Complete,Medium,4803.77,39.1,9.58,1.1,Low
P00164,Solar,Haryana,North,1491,4498.87,31,3,Partial,Medium,5320.63,38.8,18.27,7.8,Medium
P00165,Wind,Karnataka,South,791,1536.69,19,7,Complete,Medium,1617.25,23.4,5.24,4.4,Medium
P00166,Thermal,Maharashtra,West,4931,16774.05,87,4,Complete,Medium,17799.2,90.2,6.11,3.2,Medium
P00167,Hydro,Uttar Pradesh,North,763,3564.12,65,10,Partial,Medium,4205.51,75.1,18.0,10.1,High
P00168,Hydro,Haryana,North,1119,5032.39,68,1,Partial,Medium,6164.8,79.7,22.5,11.7,High
P00169,Transmission,Haryana,North,599,924.47,14,1,Partial,Medium,1142.44,19.9,23.58,5.9,Medium
P00170,Transmission,Karnataka,South,2103,4634.94,21,5,Partial,Medium,5440.41,30.7,17.38,9.7,High
P00171,Thermal,Haryana,North,2119,10865.85,71,5,Complete,Low,11019.16,71.5,1.41,0.5,Low
P00172,Hydro,Madhya Pradesh,Central,3391,23518.73,45,6,Complete,High,28019.52,48.7,19.14,3.7,Medium
P00173,Wind,Andhra Pradesh,South,924,1340.39,15,2,Complete,Medium,1485.39,18.9,10.82,3.9,Medium
P00174,Transmission,Andhra Pradesh,South,2639,5757.16,25,9,Complete,High,6509.18,38.2,13.06,13.2,High
P00175,Thermal,Haryana,North,924,2391.44,88,4,Complete,Low,2473.2,89.1,3.42,1.1,Low
P00176,Transmission,Gujarat,West,2175,4533.18,52,7,Partial,Medium,5348.43,59.5,17.98,7.5,Medium
P00177,Wind,Andhra Pradesh,South,147,404.48,30,7,Partial,Low,453.64,33.9,12.15,3.9,Medium
P00178,Solar,Madhya Pradesh,Central,326,596.39,15,4,Partial,Low,704.31,20.2,18.09,5.2,Medium
P00179,Solar,Punjab,North,107,321.16,13,9,Complete,Medium,366.18,18.9,14.02,5.9,Medium
P00180,Hydro,Maharashtra,West,2856,22340.73,47,10,Complete,Medium,25002.82,56.0,11.92,9.0,Medium
P00181,Wind,Andhra Pradesh,South,877,2150.95,23,2,Complete,High,2673.28,27.8,24.28,4.8,Medium
P00182,Solar,Madhya Pradesh,Central,1073,2389.99,43,5,Complete,Medium,2567.69,47.3,7.44,4.3,Medium
P00183,Solar,Madhya Pradesh,Central,1062,3011.66,24,2,Complete,High,3232.31,32.4,7.33,8.4,Medium
P00184,Solar,Tamil Nadu,South,979,1879.2,16,3,Complete,High,2250.32,22.9,19.75,6.9,Medium
P00185,Hydro,Gujarat,West,3090,19338.27,108,5,Complete,High,21864.66,113.1,13.06,5.1,Medium
P00186,Wind,Rajasthan,North,724,1053.82,20,3,Complete,Medium,1138.31,24.8,8.02,4.8,Medium
P00187,Hydro,Maharashtra,West,388,1408.95,51,2,Complete,Medium,1516.41,53.0,7.63,2.0,Low
P00188,Hydro,Tamil Nadu,South,541,3009.73,73,5,Complete,Medium,3329.42,78.2,10.62,5.2,Medium
P00189,Hydro,Gujarat,West,1238,9329.54,58,2,Complete,Medium,10190.17,63.0,9.22,5.0,Medium
P00190,Hydro,Tamil Nadu,South,2004,6433.09,49,10,Pending,Low,8927.51,71.2,38.77,22.2,High
P00191,Solar,Madhya Pradesh,Central,682,1406.99,25,8,Partial,Medium,1610.88,35.6,14.49,10.6,High
P00192,Solar,Tamil Nadu,South,117,380.77,13,9,Complete,Medium,437.44,20.9,14.88,7.9,Medium
P00193,Hydro,Gujarat,West,1592,8926.71,104,4,Complete,Medium,9538.28,108.7,6.85,4.7,Medium
P00194,Wind,Punjab,North,529,1179.24,24,7,Complete,Medium,1275.73,29.2,8.18,5.2,Medium
P00195,Transmission,Uttar Pradesh,North,2379,5762.32,49,4,Partial,Medium,6832.83,57.8,18.58,8.8,Medium
P00196,Wind,Madhya Pradesh,Central,410,865.62,34,6,Complete,Low,881.28,34.9,1.81,0.9,Low
P00197,Wind,Punjab,North,516,876.31,12,9,Complete,Medium,977.23,15.9,11.52,3.9,Medium
P00198,Solar,Punjab,North,604,1925.46,44,10,Complete,Medium,2172.84,49.0,12.85,5.0,Medium
P00199,Solar,Punjab,North,868,2829.44,24,3,Complete,High,3304.05,35.7,16.77,11.7,High
P00200,Transmission,Karnataka,South,1232,2355.41,59,1,Partial,High,2928.58,64.8,24.33,5.8,Medium
P00201,Thermal,Gujarat,West,4533,23395.58,68,4,Complete,Low,23885.66,69.5,2.09,1.5,Low
P00202,Solar,Andhra Pradesh,South,704,2111.79,13,9,Partial,High,2614.4,26.0,23.8,13.0,High
P00203,Transmission,Uttar Pradesh,North,486,875.26,51,2,Complete,Medium,939.69,53.1,7.36,2.1,Low
P00204,Transmission,Rajasthan,North,1250,1893.44,34,8,Partial,High,2468.25,53.6,30.36,19.6,High
P00205,Hydro,Maharashtra,West,1279,7541.41,76,7,Complete,Medium,8173.67,80.3,8.38,4.3,Medium
P00206,Wind,Punjab,North,717,1416.04,15,5,Pending,Medium,1818.08,29.9,28.39,14.9,High
P00207,Hydro,Rajasthan,North,3028,19335.61,104,8,Complete,Low,21742.19,106.6,12.45,2.6,Medium
P00208,Transmission,Punjab,North,542,974.45,56,4,Complete,Low,1019.55,56.8,4.63,0.8,Low
P00209,Hydro,Gujarat,West,2409,16335.59,50,5,Complete,High,18016.55,62.9,10.29,12.9,High
P00210,Thermal,Gujarat,West,2916,8318.78,94,4,Complete,High,9652.77,103.8,16.04,9.8,High
P00211,Transmission,Uttar Pradesh,North,920,2070.44,14,10,Partial,Medium,2549.44,25.0,23.14,11.0,High
P00212,Transmission,Maharashtra,West,1008,1954.87,22,4,Complete,High,2305.62,31.8,17.94,9.8,High
P00213,Transmission,Madhya Pradesh,Central,2667,2824.86,28,5,Partial,Low,3306.26,35.0,17.04,7.0,Medium
P00214,Thermal,Uttar Pradesh,North,4232,23205.92,74,5,Partial,Low,25729.2,80.7,10.87,6.7,Medium
P00215,Thermal,Tamil Nadu,South,2110,6990.2,59,7,Complete,Medium,7674.51,64.1,9.79,5.1,Medium
P00216,Wind,Maharashtra,West,736,1896.05,15,7,Pending,Low,2262.54,32.9,19.33,17.9,High
P00217,Hydro,Uttar Pradesh,North,1446,7579.35,48,7,Complete,Medium,8329.8,50.8,9.9,2.8,Low
P00218,Transmission,Gujarat,West,795,1425.33,41,3,Pending,Medium,1733.19,59.7,21.6,18.7,High
P00219,Transmission,Punjab,North,747,1608.58,20,1,Partial,Medium,1789.63,26.6,11.26,6.6,Medium
P00220,Hydro,Punjab,North,3942,24284.49,112,2,Complete,Low,25339.58,113.4,4.34,1.4,Low
P00221,Solar,Madhya Pradesh,Central,211,651.79,27,6,Complete,Low,664.92,27.6,2.01,0.6,Low
P00222,Thermal,Gujarat,West,2842,11667.05,58,8,Complete,High,13980.6,71.7,19.83,13.7,High
P00223,Transmission,Maharashtra,West,1404,1662.87,28,7,Partial,Medium,1876.66,38.5,12.86,10.5,High
P00224,Thermal,Karnataka,South,2807,8621.71,58,8,Complete,Medium,9963.1,62.0,15.56,4.0,Medium
P00225,Solar,Andhra Pradesh,South,1227,3595.21,33,6,Pending,Medium,4990.09,44.2,38.8,11.2,High
P00226,Hydro,Maharashtra,West,236,1702.4,79,4,Partial,High,1996.6,97.8,17.28,18.8,High
P00227,Wind,Rajasthan,North,877,2051.2,35,7,Complete,Low,2124.33,36.3,3.57,1.3,Low
P00228,Solar,Punjab,North,572,1945.68,36,9,Complete,Medium,2218.55,43.1,14.02,7.1,Medium
P00229,Wind,Maharashtra,West,285,343.48,18,9,Complete,Medium,394.24,27.3,14.78,9.3,High
P00230,Thermal,Madhya Pradesh,Central,1696,4483.81,44,8,Pending,Low,5401.86,64.0,20.47,20.0,High
P00231,Transmission,Maharashtra,West,1648,1791.6,21,5,Complete,High,1973.15,24.9,10.13,3.9,Medium
P00232,Thermal,Andhra Pradesh,South,1174,5249.49,82,6,Partial,Medium,6355.68,90.0,21.07,8.0,Medium
P00233,Thermal,Rajasthan,North,2651,8022.12,47,6,Complete,Medium,8693.07,48.3,8.36,1.3,Low
P00234,Transmission,Haryana,North,132,278.33,18,4,Partial,Medium,333.17,29.2,19.7,11.2,High
P00235,Solar,Madhya Pradesh,Central,778,1620.02,33,4,Pending,Medium,2114.34,43.7,30.51,10.7,High
P00236,Solar,Madhya Pradesh,Central,657,1840.86,22,6,Complete,Low,1858.89,22.3,0.98,0.3,Low
P00237,Wind,Haryana,North,443,782.9,30,5,Partial,High,970.62,48.5,23.98,18.5,High
P00238,Solar,Haryana,North,735,1193.94,16,4,Partial,Medium,1390.59,24.4,16.47,8.4,Medium
P00239,Transmission,Uttar Pradesh,North,2745,5877.82,25,10,Complete,Medium,6795.1,32.1,15.61,7.1,Medium
P00240,Hydro,Gujarat,West,1646,8162.99,105,9,Complete,High,10511.29,117.7,28.77,12.7,High
P00241,Hydro,Madhya Pradesh,Central,2458,10003.53,117,10,Complete,High,12880.39,130.1,28.76,13.1,High
P00242,Transmission,Andhra Pradesh,South,107,231.08,47,1,Complete,Medium,258.99,51.3,12.08,4.3,Medium
